id,tier,title,short_title,authors,published,versioned_id,venue,venue_source,url,topics,stages,method_families,model_relationship,test_level,code,weights,data,predictions,recomputable,reproduction,main_finding,caveats,bibtex_key
arxiv:2609.25845,core,Visual Jev: Accurate and Efficient Decisions from Shared Visual Context,Visual Jev,Guanxu Yu; Yuhang Yao,2026-09-22,2609.25845v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2609.25845v1,multimodal; efficiency; open-models,readout; use,finetuned_decoder,independent_jev_like,model_test,project_page_only,not_located,available,partial,partial,not_attempted,"Post-training raised equal-weight macro accuracy from 0.706 to 0.761; with 32 questions per image, shared batched execution was 8.9× faster (warm, amortized) than independent serial calls and 3.4× faster than batching that recomputes the prefix.",5.7 ms is amortized: a 32-question batch completes in about 182 ms. It is not the latency of an independent request.; Accuracy gains concentrate on the two task families represented in training.; A matched typed head showed no consistent accuracy advantage over the LM-head readout.; Single-machine study on a consumer GPU; queueing latency is excluded.,arxiv2609_25845
arxiv:2609.26532,core,REFLEX with Jev for Efficient Selective Control in LLM Agents,REFLEX with Jev,Tiantong Wu; Wei Yang Bryan Lim,2026-09-22,2609.26532v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2609.26532v1,agents; selective-control; efficiency; routing,control; use,hosted_service,commercial_jev; downstream_system,system_test,not_located,not_applicable,partial,not_located,no,not_attempted,"At threshold τ = 0.5, REFLEX reached 95% success with 1.12 strong-model calls per task, against 88% and 4.10 calls for the strong-only agent (72.7% fewer strong calls).","Only one proprietary decision model is tested.; On BFCL ordinary routing is near-saturated; on τ-style episodes a cheap generative cascade remains competitive.; The τ evaluation is a 300-episode held-out validation, not a full leaderboard; API costs are dated snapshots.; Action-set size and ambiguity effects concentrate in authority and risk families.",arxiv2609_26532
arxiv:2609.26550,core,"JEV-as-a-Judge: Accept When Confident, Escalate When Unsure",JEV-as-a-Judge,Yubo Li; Yidi Miao; Ramayya Krishnan; Rema Padman,2026-09-22,2609.26550v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2609.26550v1,judging; selective-control; calibration; efficiency; evaluation-methodology,probability; control; use,hosted_service,commercial_jev,model_test,claimed_not_located,not_applicable,partial,claimed_not_located,no,not_attempted,On ordinary preference and evidence-grounded factuality Jev stayed within three points of the strongest judge (GPT-6 Astra) at 0.36% of its fee; a frozen two-order cascade kept 99% of GPT-6’s accuracy at 57% of its fee.,"Gaps widen when a judgment requires checking a derivation or resisting an elaborately written wrong answer.; The 1,312-item extension was added after preliminary results were known; multi-family analyses are exploratory.; Human adjudication covers 183 disagreement-selected items, completed by one author.; Latency comes from a 120-decision panel at one client location; simulated cascade fees say nothing about real cascade latency.; Single-order cascades are post hoc; only the frozen two-order policies test a pre-specified rule.",arxiv2609_26550
arxiv:2609.26758,core,"Type-Safe Is Not Error-Free: A Constrained Decision Head Follows the Option Name, Not the Rubric Bound to It",Type-Safe Is Not Error-Free,Yu Sun; Junhao Xu,2026-09-22,2609.26758v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2609.26758v1,interface-semantics; robustness; open-models; evaluation-methodology,contract; readout,hosted_service; encoder_head,commercial_jev; independent_jev_like,model_test,claimed_not_located,not_located,claimed_not_located,claimed_not_located,no,not_attempted,"Rebinding the rubrics behind no/yes lowered hosted Jev’s AUROC from .8146 to .5806 and flipped 32.50% of its answers (neutral names: ~2%; 24× its test–retest floor) while type errors stayed at 0%. The steeper .94→.23 inversion comes from an open marker head, not from Jev.","The .9376→.2315 AUROC inversion belongs to an open marker-readout checkpoint, not to hosted Jev.; One released checkpoint per open read-out geometry; English only.; The hosted model is a non-deterministic black box observed at one point in time; no model version is pinned.; The multi-way arm rests on a pool with shipped accuracy .5637 and is directional.; Mitigations (neutral identifiers; randomising names in training) are proposed, not evaluated.",arxiv2609_26758
arxiv:2609.23959,core,Open-Jev Judgments on CallScreenBench: Calibrated One-Pass Scam Screening with a Small Language Model,Open-Jev on CallScreenBench,Simiao Ren; Kidus Zewde; Xingyu Shen; Yuchen Zhou; Dennis Ng; Ankit Raj; Tommy Duong; Yuxin Zhang; Neo Tiangratanakul,2026-09-21,2609.23959v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2609.23959v1,open-models; calibration; efficiency; robustness,readout; probability; use,finetuned_decoder,independent_jev_like,model_test,not_located,not_located,not_located,not_located,no,not_attempted,"A three-seed ensemble reached AUROC .974 with calibration error .052, non-inferior to an LLM judge at a pre-registered .02 margin, with no false alarms on legitimate calls and decisions 1.14 turns earlier; 64.5 ms per decision on one consumer GPU, 4.9× faster than the same backbone fine-tuned to generate.","Recipe selection had test-set exposure (about ten recipes were scored before the selection rule was fixed).; A fine-tuned ModernBERT encoder is not significantly worse; the gain is in readout and calibration, not accuracy.; All callers are synthetic.; Single-model latency and the three-model ensemble quality are measured on different scopes.",arxiv2609_23959
arxiv:2609.23986,core,Jev-Mem: System-One-Controlled Agentic Memory for Efficient AI Agents,Jev-Mem,Dongming Jiang; Yi Li; Bingzhe Li,2026-09-21,2609.23986v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2609.23986v1,agents; efficiency,control; use,hosted_service,downstream_system; commercial_jev,system_test,available,not_applicable,available,not_located,not_assessed,not_attempted,"LLM-as-a-Judge 0.777 on LoCoMo (+11.0% relative to the strongest baseline), memory construction in 158 s (6.6× faster than the fastest competing system) and 0.93 s average query latency (36.7% lower).","Each headline number is relative to a different baseline.; Gains belong to the full memory system, not to Jev alone; module-level attribution is needed.; The quality metric is itself an LLM judge; transfer to other datasets is untested.; No Jev model version is pinned.",arxiv2609_23986
arxiv:2609.24052,core,Calibrated Decisions at Scale: Converting Police Crash Narratives into Probabilistic Crash Variables with a System One Model (Jev),Calibrated Decisions at Scale,Amir Rafe; Subasish Das,2026-09-21,2609.24052v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2609.24052v1,calibration; selective-control; evaluation-methodology; efficiency,probability; control; use,hosted_service,commercial_jev; downstream_system,system_test,available,not_applicable,restricted,partial,partial,not_attempted,Against human labels the typed model reached F1 0.908; one frontier model was 0.059 higher and the other indistinguishable. Probabilities ranked well but overstated prevalence; recalibration on the same labels cut calibration error about 3.3×.,"Single region, single model version and single schema.; Recalibration was fitted on labels from the same distribution; it is not a guarantee for new regions or schemas.; Two-decimal output probabilities put a floor on calibration error for rare variables.; Narratives and record-level files are not redistributable; a de-identified audit table is available on request once the data owner confirms.",arxiv2609_24052
arxiv:2609.24395,core,"JEVQA - Video Quality from Metadata, Bitstream, and Pixel Features with a General-Purpose Decision Model",JEVQA,Werner Robitza,2026-09-21,2609.24395v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2609.24395v1,multimodal; evaluation-methodology,contract; use,hosted_service,commercial_jev; downstream_system,model_test,not_located,not_applicable,partial,not_located,no,not_attempted,"With metadata only, JEVQA reached PLCC 0.737 against VMAF (P.1204.1: 0.733), rising to 0.797 with bitstream data and 0.824 with bitstream plus pixel features; against MOS it reached 0.879 (P.1204.1: 0.898).","Study A’s target is VMAF, not human MOS.; Trained models on the same features remain clearly ahead in both studies; the pixel-only variant failed.; Standard models have seen part of the Study B database.; Feature extraction does the perceptual work; this does not show that Jev can watch video.",arxiv2609_24395
arxiv:2609.24574,core,Evaluating Decision Models for Text Annotation in Computational Social Science,Decision Models for CSS Annotation,Hazem Ibrahim; Yasir Zaki,2026-09-21,2609.24574v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2609.24574v1,calibration; selective-control; efficiency; open-models; classification,probability; control; use,hosted_service; encoder_head; frozen_decoder_readout; finetuned_decoder,commercial_jev; independent_jev_like,model_test,available,not_applicable,available,available,available,not_attempted,Jev trailed the per-task best LLM on 14 of 15 tasks (median −11.6 macro-F1) at a median 44× lower measured cost. Its median ECE (0.157) beat the verbalised confidence of 16 of 19 LLMs but not three frontier Claude models (best 0.066). Routing low-confidence items to an LLM matched or exceeded the LLM alone at a quarter to half of its cost.,High confidence is not reliable across constructs: on empathy the model is confident while performing near chance (task calibration error 0.538).; Verbalised LLM confidence and native probabilities are different signals; baselines that decline to estimate are excluded from calibration.; Older public corpora may overlap with training data; the overlap is unknown.,arxiv2609_24574
arxiv:2609.24965,core,Jev for Scientific Decisions: Evaluating Semantic Choices and Their Consequences,Jev for Scientific Decisions,Boyuan Deng; Shuyi Fan; Hongyang Zhang; Xinhong Xie,2026-09-21,2609.24965v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2609.24965v1,evaluation-methodology; efficiency,contract; use,hosted_service,commercial_jev,system_test,not_located,not_applicable,partial,not_located,no,not_attempted,Jev matched five other configurations at complete semantic correctness and had the lowest observed median latency among successful responses (0.335 s; p95 0.442 s). Seven wrong selections by comparison models changed downstream counts while leaving the final label correct.,"A tiny development collection; repetitions do not add independent cases.; Every model-routed reference label is “inconsistent”, so balanced claim decisions are untested.; All observed semantic errors concern a single Choice.",arxiv2609_24965
arxiv:2609.23886,core,"this-that-model-1.0: A typed decision model that decides in 30 ms, for a millionth of a cent",this-that-model-1.0,Zehua Cheng; Wei Dai; Jiahao Sun,2026-09-20,2609.23886v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2609.23886v1,open-models; efficiency; calibration,readout; probability; use,finetuned_decoder,independent_jev_like,model_test,available,available,partial,not_located,partial,not_attempted,"30.9 ms per decision on one laptop GPU; on the 68-question cohort 0.941 accuracy (Brier 0.042) against Jev’s 0.765 (0.133); on the 2,250-question subset 0.844 against Jev’s 0.803.","The 68-question accuracy gap rests on 12 questions.; The model was trained on the 2,250-question subset’s question shapes; Jev was not.; Electricity-only marginal cost excludes hardware and operations and is not comparable to an API price.; Weaker than strong reasoning models on multi-step arithmetic; on branch-shaped families 0.818 against 0.837–0.968 for hosted models.",arxiv2609_23886
arxiv:2609.22753,core,Replacing Large Language Models with Jev Decision Models for Low-Latency Edge Service Orchestration,Replacing LLMs with Jev at the Edge,Delong Li; Xu Wang; Haochen Gong; Rui Lang; Guangsheng Yu,2026-09-19,2609.22753v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2609.22753v1,efficiency; structured-output,contract; use,hosted_service; generative_adapter,commercial_jev; downstream_system,hybrid,not_located,not_applicable,partial,not_located,no,not_attempted,"Jev cut median client decision latency by 15.9–26.5%. Without caching, end-to-end latency on requests both systems completed correctly was 11.1–25.3% lower and API fees per correct completion 69.0–70.6% lower; correct on-time completion matched DeepSeek in 7 of 8 conditions and exceeded it in 1.","Repeated-request caching largely removes the latency difference.; Results are specific to the measured services, provider regions and time windows.; Same study family as 2609.23136.",arxiv2609_22753
arxiv:2609.23136,core,Fast Intent-Driven Service Orchestration with Jev for 6G Edge Networks,Intent-Driven 6G Edge Orchestration,Delong Li; Xu Wang; Haochen Gong; Rui Lang; Guangsheng Yu,2026-09-19,2609.23136v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2609.23136v1,efficiency; agents,contract; use,hosted_service,commercial_jev; downstream_system,hybrid,not_located,not_applicable,partial,not_located,no,not_attempted,"With correct interpretation on all evaluated contracts, Jev cut median decision latency by 22.4% against DeepSeek and 61.9% against Gemini. In the real image service over simulated NR access it completed 459 of 1,080 requests correctly and on time, against 463 for DeepSeek and 435 for Qwen.","Faster decisions did not yield more correct on-time completions than DeepSeek in the image service.; Network access is simulated; the modeled completion gains (+3.50 and +8.35 points) come from simulation.; Same author group and service path as 2609.22753: one study family, not independent replication.",arxiv2609_23136
arxiv:2609.25498,peripheral,Universal Fractal Natural Language Decision Map: Real-Time Edge Triage Across Heterogeneous Domains,Universal Fractal Decision Map,Volkan Dağlı; Zerrin Dağlı; Dağhan Dağlı,2026-09-21,2609.25498v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2609.25498v1,open-models; efficiency; robustness,readout,,independent_jev_like,model_test,partial,not_applicable,partial,not_located,not_assessed,not_attempted,"Author-reported 92.6% macro-accuracy (95% CI 90.8–94.1%) on 1,150+ decisions, 7.08 ms median latency on CPU, and a first-place claim on the community JevBench board (81.65%).","All results are self-reported on the authors’ corpus and infrastructure; the leaderboard claim rests on a community submission.; “0.0% injection bypass” carries a 95% Wilson interval of 0–30.8%: a small sample, not a security guarantee.; The proposed mechanism has not been independently examined.",arxiv2609_25498
arxiv:2609.17977,background,When to Call an LLM: A Confidence-Gated Hybrid for Cost-Effective Emotion Recognition in Conversational AI,,Sai Babu Udayagiri; Arjun Chouhan; Ravisekhar Kanagala; Trishala Pavagada,2026-09-16,2609.17977v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2609.17977v1,selective-control; routing; classification,control,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,A cheap stacked ensemble that escalates only its least-confident predictions to an LLM; on IEMOCAP the ensemble alone beat every LLM configuration — trained cheap models are the first baseline for escalation designs.,,arxiv2609_17977
arxiv:2609.13288,background,Target-Checked Reliability Score Refinement for Video Question Answering,,Guoxiang Ren; Rohitash Chandra,2026-09-09,2609.13288v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2609.13288v1,calibration; robustness; multimodal,probability,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,"Answer-level reliability scores built from option-probability lists can be refined under target shift, without changing answers, when a labelled target pilot exists.",,arxiv2609_13288
arxiv:2609.07305,background,"Marginal Fidelity Does Not Establish User Simulation in Demographic Synthetic Survey Panels: Response Contracts, Support Collapse and Conditioning Failure",,Alexander Doudkin,2026-09-07,2609.07305v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2609.07305v1,interface-semantics; calibration,contract,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,In synthetic survey panels the response contract (committed sets vs per-option probabilities) dominates measured fidelity — the same interface dependence seen with Noul vs Choice.,,arxiv2609_07305
arxiv:2609.04445,background,Conformity Breaks Conformal Prediction,,Yibo Hu; Hanyu Su,2026-09-03,2609.04445v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2609.04445v1,selective-control; calibration; robustness,control,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,Conformal coverage calibrated in isolation breaks under a score-mechanism shift (peer pressure); an attacker can target the low-confidence items a gate still covers.,,arxiv2609_04445
arxiv:2608.20630,background,SAGE: A Unified Algebra and Self-Adaptive Execution for AI Functions in SQL,,Xiangqi Wang; Nhan H. Pham; Oktie Hassanzadeh; Dharmashankar Subramanian; Xiangliang Zhang,2026-08-21,2608.20630v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2608.20630v1,structured-output; selective-control,contract; readout,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,Typed AI primitives with a shared confidence-gated execution interface in SQL: the same design pattern arising independently in data systems.,,arxiv2608_20630
arxiv:2608.19558,background,Reliable Financial Named Entity Recognition Under Domain Shift: Confidence Estimation and Selective Prediction,,Zihao Zheng; Baichuan Li; Junyi Yao; Jiayu Long,2026-08-20,2608.19558v2,arXiv,arxiv_metadata,https://arxiv.org/abs/2608.19558v2,calibration; selective-control; robustness,probability,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,Under domain shift the ranking of confidence signals changes: whole-output probability is the best in-domain error detector but degrades out of domain.,,arxiv2608_19558
arxiv:2608.08254,background,Your Prompt Is Not the Only Prompt: How Much Do LLMs Weight Structured-Output Schema Descriptions?,,Sin-Ying Lin,2026-08-08,2608.08254v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2608.08254v1,interface-semantics; structured-output,contract,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,Schema descriptions act as prompts: interface validity is not semantic compliance.,,arxiv2608_08254
arxiv:2608.06571,background,Model Confidence Under Answer-Preserving Attacks: An Informativeness-Manipulability Frontier,,Reza Khanmohammadi; Ivan Brugere; Simerjot Kaur; Charese H. Smiley; Kundan Thind; Mohammad M. Ghassemi,2026-08-06,2608.06571v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2608.06571v1,calibration; robustness,probability,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,"Answer-preserving attacks move confidence readouts, bounding what confidence gates can certify.",,arxiv2608_06571
arxiv:2608.04355,background,The Calibration Floor: Format Repair Can Masquerade as Self-Correction at Small-to-Mid Scale,,Mingguang Chen; Bo Qu; Licheng Wang,2026-08-05,2608.04355v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2608.04355v1,structured-output; evaluation-methodology,contract; readout,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,"Format recovery can masquerade as reasoning gains; grammar-constrained decoding closes much of the gap, so parseability must be separated from content when typed and generative outputs are compared.",,arxiv2608_04355
arxiv:2606.30531,background,Entity Binding Failures in Tool-Augmented Agents,,Rahul Suresh Babu; Shashank Indukuri,2026-06-29,2606.30531v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2606.30531v1,interface-semantics; agents; selective-control,contract,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,"Entity binding failures — the right tool acting on the wrong entity — separate tool correctness from entity correctness, a close analogue of option-name binding.",,arxiv2606_30531
arxiv:2606.22807,background,KaLM-Reranker-V1: Fast but Not Late Interaction for Compressed Document Reranking,,Xinping Zhao; Jiaxin Xu; Ziqi Dai; Xin Zhang; Huiyao Chen; Shouzheng Huang; Xianhao Xiong; Danyu Tang; Xinshuo Hu; Guohong Fu; Meishan Zhang; Baotian Hu,2026-06-22,2606.22807v3,arXiv,arxiv_metadata,https://arxiv.org/abs/2606.22807v3,classification; efficiency,readout,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,KaLM-Reranker-V1: a reranker whose updated abstract links a Jev model collection; that link does not make it a Jev source paper. Full text spot-checked.,,arxiv2606_22807
arxiv:2607.20492,background,"PhantomFill: When the Form Demands an Answer, Language Models Invent One",,Rana Muhammad Usman,2026-06-11,2607.20492v2,arXiv,arxiv_metadata,https://arxiv.org/abs/2607.20492v2,structured-output; interface-semantics,contract; readout,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,"PhantomFill: when a form demands an answer, models invent one — the closed-set risk of forced choices.",,arxiv2607_20492
arxiv:2604.25359,background,The Structured Output Benchmark: A Multi-Source Benchmark for Evaluating Structured Output Quality in Large Language Models,,Abhinav Kumar Singh; Harsha Vardhan Khurdula; Yoeven D Khemlani; Vineet Agarwal,2026-04-28,2604.25359v1,arXiv,arxiv_comment_submitted,https://arxiv.org/abs/2604.25359v1,structured-output; evaluation-methodology,contract; readout,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,Structured Output Benchmark: broader task coverage for structured-output quality.,,arxiv2604_25359
arxiv:2601.07206,background,LLMRouterBench: A Massive Benchmark and Unified Framework for LLM Routing,,Hao Li; Yiqun Zhang; Zhaoyan Guo; Chenxu Wang; Shengji Tang; Qiaosheng Zhang; Yang Chen; Biqing Qi; Peng Ye; Lei Bai; Zhen Wang; Shuyue Hu,2026-01-12,2601.07206v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2601.07206v1,routing; evaluation-methodology,control; use,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,LLMRouterBench: a unified task set and protocol for routing evaluation.,,arxiv2601_07206
arxiv:2511.13699,background,Efficient Calibration for Decision Making,,Parikshit Gopalan; Konstantinos Stavropoulos; Kunal Talwar; Pranay Tankala,2025-11-17,2511.13699v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2511.13699v1,calibration,probability; control,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,Efficient decision-oriented calibration: a strong post-processing baseline.,,arxiv2511_13699
arxiv:2510.07750,background,Calibrating Decision Robustness via Inverse Conformal Risk Control,,Wenbin Zhou; Shixiang Zhu,2025-10-09,2510.07750v3,arXiv,arxiv_metadata,https://arxiv.org/abs/2510.07750v3,calibration; robustness,probability; control,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,Inverse conformal risk control and decision robustness.,,arxiv2510_07750
arxiv:2510.01237,background,Confidence-Aware Routing for Large Language Model Reliability Enhancement: A Multi-Signal Approach to Pre-Generation Hallucination Mitigation,,Nandakishor M,2025-09-23,2510.01237v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2510.01237v1,routing; calibration,control; use,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,Confidence-aware routing: combining several signals to decide before generation whether to answer or route.,,arxiv2510_01237
arxiv:2508.07662,background,GLiClass: Generalist Lightweight Model for Sequence Classification Tasks,,Ihor Stepanov; Mykhailo Shtopko; Dmytro Vodianytskyi; Oleksandr Lukashov; Alexander Yavorskyi; Mykyta Yaroshenko,2025-08-11,2508.07662v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2508.07662v1,classification; open-models,readout,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,GLiClass: a general lightweight sequence classifier and a direct adjacent baseline for typed decisions.,,arxiv2508_07662
arxiv:2504.15582,background,Smooth Calibration and Decision Making,,Jason Hartline; Yifan Wu; Yunran Yang,2025-04-22,2504.15582v1,FORC 2025,arxiv_comment,https://arxiv.org/abs/2504.15582v1,calibration,probability; control,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,Smooth calibration and decision making.,,arxiv2504_15582
arxiv:2503.24377,background,Harnessing the Reasoning Economy: A Survey of Efficient Reasoning for Large Language Models,,Rui Wang; Hongru Wang; Boyang Xue; Yixia Li; Jianhui Pang; Shudong Liu; Yi Chen; Jiahao Qiu; Derek Fai Wong; Guanhua Chen; Heng Ji; Kam-Fai Wong,2025-03-31,2503.24377v3,arXiv,arxiv_metadata,https://arxiv.org/abs/2503.24377v3,routing; efficiency,control; use,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,"Reasoning economy: compare inference budgets, not only parameter counts.",,arxiv2503_24377
arxiv:2503.23303,background,SalesRLAgent: A Reinforcement Learning Approach for Real-Time Sales Conversion Prediction and Optimization,,Nandakishor M,2025-03-30,2503.23303v1,arXiv,arxiv_metadata,https://arxiv.org/abs/2503.23303v1,classification; calibration,readout,,adjacent_method,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,SalesRLAgent (2025): probabilistic decisions in a sales domain; historically related work.,,arxiv2503_23303
