id,full_name,sets,type,method_family,commit,readme_url,license,audit_depth,selected_source_read,code,weights,training_code,inference_code,evaluation,data,raw_predictions,summary,boundary
gh:99hansling/awesome-jev,99hansling/awesome-jev,catalogue,catalogue,,e05d7e1d0c6274f1f07ea24ac0bdee571eae3ac4,https://github.com/99hansling/awesome-jev/blob/e05d7e1d0c6274f1f07ea24ac0bdee571eae3ac4/README.md,NOASSERTION,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:abdelstark/awesome-typesafe-jev,AbdelStark/awesome-typesafe-jev,catalogue,catalogue,,ebb32cdc9e7a288e5066592fb05a608e62578c71,https://github.com/AbdelStark/awesome-typesafe-jev/blob/ebb32cdc9e7a288e5066592fb05a608e62578c71/README.md,MIT,README_metadata,,,,,,,,,"Field guide that places official material, evaluations and tools side by side.","Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:abdelstark/jev-benchmarks,AbdelStark/jev-benchmarks,priority,benchmark,,0d610cc53e79bcbec691312b0c4adb4a0e371642,https://github.com/AbdelStark/jev-benchmarks/blob/0d610cc53e79bcbec691312b0c4adb4a0e371642/README.md,Apache-2.0,README_metadata,,available,not_applicable,not_located,not_applicable,available,not_located,not_located,"Probability-aware evaluation harness (calibration, selective risk, resources, latency); first study compares Jev with GLiNER2.5 on BTZSC.",Pilot of 300 held-out examples; statistics need recomputation before citation.
gh:ai-trainee/awesome-jev,Ai-trainee/awesome-jev,catalogue,catalogue,,eecb2c49c5d972dcd3542f89e8ca5325a0438cdc,https://github.com/Ai-trainee/awesome-jev/blob/eecb2c49c5d972dcd3542f89e8ca5325a0438cdc/README.md,MIT,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:aipersonacademy/awesome-jev-use,AiPersonacademy/Awesome-jev-use,catalogue,catalogue,,28fc70f221ba9959292d05c85693cc930ba01de8,https://github.com/AiPersonacademy/Awesome-jev-use/blob/28fc70f221ba9959292d05c85693cc930ba01de8/README.md,CC0-1.0,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:aitofy-dev/jev-awesome-skills,aitofy-dev/jev-awesome-skills,catalogue,catalogue,,544f447cc1f2c1a9a967ce1368a3017be98efb20,https://github.com/aitofy-dev/jev-awesome-skills/blob/544f447cc1f2c1a9a967ce1368a3017be98efb20/README.md,MIT,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:aliaihub/awesome-jev-usecases,aliaihub/awesome-jev-usecases,catalogue,catalogue,,2bb18814949b18143260e9138fe5b009da8fb134,https://github.com/aliaihub/awesome-jev-usecases/blob/2bb18814949b18143260e9138fe5b009da8fb134/README.md,NOASSERTION,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:amal-david/awesome-jev,Amal-David/awesome-jev,catalogue,catalogue,,e71d148ed17ddf56b38c7720601899a1c5c9d475,https://github.com/Amal-David/awesome-jev/blob/e71d148ed17ddf56b38c7720601899a1c5c9d475/.github/README.md,NOASSERTION,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:anandi1989/awesome-jev-usecases,anandi1989/awesome-jev-usecases,catalogue,catalogue,,8cb8286ad9a2e103aac632911fe409e8445cb4e7,https://github.com/anandi1989/awesome-jev-usecases/blob/8cb8286ad9a2e103aac632911fe409e8445cb4e7/README.md,MIT,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:anil-matcha/awesome-jev-by-typesafe,Anil-matcha/awesome-jev-by-typesafe,catalogue,catalogue,,cd0c2eaa5fbd1e533a6f07c1a438349ee4dca453,https://github.com/Anil-matcha/awesome-jev-by-typesafe/blob/cd0c2eaa5fbd1e533a6f07c1a438349ee4dca453/README.md,MIT,README_metadata,,,,,,,,,Usage-oriented; demos do not establish generalisation.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:anotiawang/awesome-jev,AnotiaWang/awesome-jev,catalogue,catalogue,,a094949e165f44b6cbfa343a788e3949d5bb74ec,https://github.com/AnotiaWang/awesome-jev/blob/a094949e165f44b6cbfa343a788e3949d5bb74ec/README.md,CC0-1.0,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
