full_name,requested_repo,html_url,description,license,stargazers_count,fork,parent,created_at,pushed_at,commit,commit_date,readme_permanent_url,readme_snapshot,retrieved_at_utc,status,external_candidate_repo_links,overlap_with_hellogumbo,additional_links_vs_hellogumbo,jaccard_with_hellogumbo,readme_arxiv_ids,error
99hansling/awesome-jev,99hansling/awesome-jev,https://github.com/99hansling/awesome-jev,,NOASSERTION,0,False,,2026-09-20T16:16:46Z,2026-09-20T16:43:54Z,e05d7e1d0c6274f1f07ea24ac0bdee571eae3ac4,2026-09-20T16:43:28Z,https://github.com/99hansling/awesome-jev/blob/e05d7e1d0c6274f1f07ea24ac0bdee571eae3ac4/README.md,sources/github/99hansling__awesome-jev/README.md,2026-09-23T06:20:20.869709+00:00,ok,19,15,4,0.018821,[],
AbdelStark/awesome-typesafe-jev,AbdelStark/awesome-typesafe-jev,https://github.com/AbdelStark/awesome-typesafe-jev,"Awesome Jev: a source-backed field guide to TypeSafe's System One model, with SDKs, live demos, agent tools, and independent evaluations.",MIT,476,False,,2026-09-17T06:56:37Z,2026-09-22T19:52:17Z,ebb32cdc9e7a288e5066592fb05a608e62578c71,2026-09-22T19:52:17Z,https://github.com/AbdelStark/awesome-typesafe-jev/blob/ebb32cdc9e7a288e5066592fb05a608e62578c71/README.md,sources/github/AbdelStark__awesome-typesafe-jev/README.md,2026-09-23T06:18:06.541885+00:00,ok,177,113,64,0.131855,[],
Ai-trainee/awesome-jev,Ai-trainee/awesome-jev,https://github.com/Ai-trainee/awesome-jev,,MIT,2,False,,2026-09-21T12:43:03Z,2026-09-22T09:11:39Z,eecb2c49c5d972dcd3542f89e8ca5325a0438cdc,2026-09-22T09:11:30Z,https://github.com/Ai-trainee/awesome-jev/blob/eecb2c49c5d972dcd3542f89e8ca5325a0438cdc/README.md,sources/github/Ai-trainee__awesome-jev/README.md,2026-09-23T06:20:20.870184+00:00,ok,0,0,0,0.0,[],
AiPersonacademy/Awesome-jev-use,AiPersonacademy/Awesome-jev-use,https://github.com/AiPersonacademy/Awesome-jev-use,"A curated list of awesome Jev / TypeSafe System One applications, libraries, and resources - curated by APA (AIPersona Academy)",CC0-1.0,4,False,,2026-09-19T17:26:36Z,2026-09-21T11:24:02Z,28fc70f221ba9959292d05c85693cc930ba01de8,2026-09-21T12:23:53Z,https://github.com/AiPersonacademy/Awesome-jev-use/blob/28fc70f221ba9959292d05c85693cc930ba01de8/README.md,sources/github/AiPersonacademy__Awesome-jev-use/README.md,2026-09-23T06:20:20.870336+00:00,ok,127,100,27,0.121951,[],
Amal-David/awesome-jev,Amal-David/awesome-jev,https://github.com/Amal-David/awesome-jev,"Jev demos, projects, SDKs and skills, with source links and a curated X gallery.",NOASSERTION,153,False,,2026-09-18T12:09:59Z,2026-09-23T04:25:35Z,e71d148ed17ddf56b38c7720601899a1c5c9d475,2026-09-23T04:25:31Z,https://github.com/Amal-David/awesome-jev/blob/e71d148ed17ddf56b38c7720601899a1c5c9d475/.github/README.md,sources/github/Amal-David__awesome-jev/README.md,2026-09-23T06:18:06.542009+00:00,ok,47,26,21,0.031941,[],
Anil-matcha/awesome-jev-by-typesafe,Anil-matcha/awesome-jev-by-typesafe,https://github.com/Anil-matcha/awesome-jev-by-typesafe,"Evidence-backed use cases, patterns, prompts, and starter code for TypeSafe Jev — a System One model for fast, typed, confidence-aware decisions in software.",MIT,807,False,,2023-05-17T18:38:27Z,2026-09-22T20:09:29Z,cd0c2eaa5fbd1e533a6f07c1a438349ee4dca453,2026-09-22T20:09:29Z,https://github.com/Anil-matcha/awesome-jev-by-typesafe/blob/cd0c2eaa5fbd1e533a6f07c1a438349ee4dca453/README.md,sources/github/Anil-matcha__awesome-jev-by-typesafe/README.md,2026-09-23T06:18:06.542044+00:00,ok,86,55,31,0.066748,[],
AnotiaWang/awesome-jev,AnotiaWang/awesome-jev,https://github.com/AnotiaWang/awesome-jev,"A curated list of awesome Jev / TypeSafe System One applications, libraries, and resources.",CC0-1.0,306,False,,2026-09-17T12:30:31Z,2026-09-23T01:18:05Z,a094949e165f44b6cbfa343a788e3949d5bb74ec,2026-09-23T01:18:04Z,https://github.com/AnotiaWang/awesome-jev/blob/a094949e165f44b6cbfa343a788e3949d5bb74ec/README.md,sources/github/AnotiaWang__awesome-jev/README.md,2026-09-23T06:18:06.544535+00:00,ok,145,118,27,0.143902,[],
AppitStudio/awesome-jev,AppitStudio/awesome-jev,https://github.com/AppitStudio/awesome-jev,Curated Jev resources and runnable examples for typed AI decisions.,NOASSERTION,78,False,,2026-09-18T17:56:36Z,2026-09-23T04:04:03Z,e64ff1b82f33201a02df63f6c2fc1c01f07b077b,2026-09-23T04:04:00Z,https://github.com/AppitStudio/awesome-jev/blob/e64ff1b82f33201a02df63f6c2fc1c01f07b077b/README.md,sources/github/AppitStudio__awesome-jev/README.md,2026-09-23T06:18:07.930774+00:00,ok,380,158,222,0.155665,[],
BeatAPI/awesome-jev,BeatAPI/awesome-jev,https://github.com/BeatAPI/awesome-jev,"A source-reviewed gallery of JEV-related projects with 50+ GitHub stars — integrations, tools, open models, experiments, and ecosystem resources. Live gallery: beatapi.io/awesome-jev",MIT,51,False,,2026-09-20T04:52:51Z,2026-09-23T03:35:54Z,f8a555148d5edbddb86722ee8dbe4497de1db692,2026-09-23T03:35:52Z,https://github.com/BeatAPI/awesome-jev/blob/f8a555148d5edbddb86722ee8dbe4497de1db692/README.md,sources/github/BeatAPI__awesome-jev/README.md,2026-09-23T06:18:07.943370+00:00,ok,175,72,103,0.080357,[],
CodeAlex52/awesome-jev-cn,CodeAlex52/awesome-jev-cn,https://github.com/CodeAlex52/awesome-jev-cn,Jev 中文精选：System One决策模型中文教程/KOL/小红书/B站/实测,MIT,0,False,,2026-09-21T04:35:37Z,2026-09-21T04:35:42Z,3206e84a331e225be1775d14b7e2481146fd1356,2026-09-21T04:35:32Z,https://github.com/CodeAlex52/awesome-jev-cn/blob/3206e84a331e225be1775d14b7e2481146fd1356/README.md,sources/github/CodeAlex52__awesome-jev-cn/README.md,2026-09-23T06:20:20.870358+00:00,ok,8,6,2,0.007547,[],
