full_name,html_url,description,license,stargazers_count,commit,commit_date,readme_permanent_url,retrieved_at_utc,sampled_source_files,audit_depth,independently_executed
NandhaKishorM/laya,https://github.com/NandhaKishorM/laya,,Apache-2.0,17764,c7527708f9f5220c669d8aa385077cd28d04708a,2026-09-22T20:41:33Z,https://github.com/NandhaKishorM/laya/blob/c7527708f9f5220c669d8aa385077cd28d04708a/README.md,2026-09-23T06:23:06.253354+00:00,"[""laya/__init__.py"", ""laya/agent.py""]",README_metadata_and_selected_source,False
jaredpalmer/kev,https://github.com/jaredpalmer/kev,tiny Jev-like family of decision models built on top of Qwen3.5 you can train and run on your own,Apache-2.0,4747,557598fced1dada75dfbf36ed144dce309ac6ceb,2026-09-23T01:55:24Z,https://github.com/jaredpalmer/kev/blob/557598fced1dada75dfbf36ed144dce309ac6ceb/README.md,2026-09-23T06:23:06.773650+00:00,"[""kev/model.py""]",README_metadata_and_selected_source,False
TheoLeeCJ/SemIf,https://github.com/TheoLeeCJ/SemIf,"Semantic ifs from open models, on a 3090 at home. Independent; not affiliated with Jev or TypeSafe.",MIT,3915,1f2dea3e25379f9dfc98cb83c324f00ab5deda37,2026-09-21T20:07:09Z,https://github.com/TheoLeeCJ/SemIf/blob/1f2dea3e25379f9dfc98cb83c324f00ab5deda37/README.md,2026-09-23T06:23:06.791447+00:00,"[""src/semif_phase1/direct.py""]",README_metadata_and_selected_source,False
TianyuCodings/NanoJev,https://github.com/TianyuCodings/NanoJev,"A nano replica of Jev: parallel decisions, dynamic candidates, and an end-to-end training pipeline.",MIT,2031,76fdfc9ecdca45a9bcef17991a07d3041a87685a,2026-09-21T09:58:22Z,https://github.com/TianyuCodings/NanoJev/blob/76fdfc9ecdca45a9bcef17991a07d3041a87685a/README.md,2026-09-23T06:23:06.808801+00:00,[],README_metadata,False
bespokelabsai/nimble,https://github.com/bespokelabsai/nimble,"Local typed decisions, contrastive data curation, and model evaluation.",NOASSERTION,1651,38edc3b576f13179df785d412621d5cb1128d02d,2026-09-23T05:22:26Z,https://github.com/bespokelabsai/nimble/blob/38edc3b576f13179df785d412621d5cb1128d02d/README.md,2026-09-23T06:23:07.981405+00:00,"[""nimble/scoring/parallel_scorer.py""]",README_metadata_and_selected_source,False
Mapika/decider,https://github.com/Mapika/decider,"A family of System One-style models fine-tuned from Qwen3.5, designed for one-pass typed decisions with calibrated probabilities.",Apache-2.0,321,7557fe058e0b31ffcf754b7c5bb31a452454ce89,2026-09-22T17:01:04Z,https://github.com/Mapika/decider/blob/7557fe058e0b31ffcf754b7c5bb31a452454ce89/README.md,2026-09-23T06:23:08.219661+00:00,[],README_metadata,False
FLock-io/this-that-model,https://github.com/FLock-io/this-that-model,,MIT,10,542d445efa5f68b14bfbd1f8ed25aacd8379d839,2026-09-22T17:36:39Z,https://github.com/FLock-io/this-that-model/blob/542d445efa5f68b14bfbd1f8ed25aacd8379d839/README.md,2026-09-23T06:23:08.238412+00:00,"[""thisthat/model.py""]",README_metadata_and_selected_source,False
nokia-applied-research/AnyJev,https://github.com/nokia-applied-research/AnyJev,"Turn any LLM into a Jev-style decision model: typed decisions, real probabilities, no training. (continue updating)",Apache-2.0,145,54f1b3533639f52a406941706a4fdf08b2193589,2026-09-23T05:30:40Z,https://github.com/nokia-applied-research/AnyJev/blob/54f1b3533639f52a406941706a4fdf08b2193589/README.md,2026-09-23T06:23:08.251409+00:00,"[""anyjev/readout.py"", ""anyjev/calibrate/permute.py""]",README_metadata_and_selected_source,False
guanxuyu-sv/Visual-Jev,https://github.com/guanxuyu-sv/Visual-Jev,,NOASSERTION,0,2c3451b20d282545aa7372aa78b06fc795804738,2026-09-23T05:44:43Z,https://github.com/guanxuyu-sv/Visual-Jev/blob/2c3451b20d282545aa7372aa78b06fc795804738/README.md,2026-09-23T06:23:09.308387+00:00,[],README_metadata,False
libingzheren/Jev-Mem,https://github.com/libingzheren/Jev-Mem,Jev-Mem: System-One Controlled Agentic Memory,MIT,34,81574eb23f3fd8d1a6c4d54a1e7d6f2dd539e9bb,2026-09-22T03:43:26Z,https://github.com/libingzheren/Jev-Mem/blob/81574eb23f3fd8d1a6c4d54a1e7d6f2dd539e9bb/README.md,2026-09-23T06:23:09.563574+00:00,"[""memory/jev_client.py""]",README_metadata_and_selected_source,False
