repository_normalized,url,source_count,source_catalogues,status
007m7/jev-chat,https://github.com/007m7/jev-chat,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
019ec6e2/pi-jev-compact,https://github.com/019ec6e2/pi-jev-compact,3,"[""RadRebelSam/awesome-jev"", ""mabodx/awesome-jev"", ""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
0451-software/ts-semantic-lint,https://github.com/0451-software/ts-semantic-lint,1,"[""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
0m4r0/jev-discord-bot,https://github.com/0m4r0/jev-discord-bot,2,"[""daftAI2026/awesome-jev"", ""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
0mis/astra-jev-new-vegas,https://github.com/0mis/astra-jev-new-vegas,1,"[""wh000wh000/awesome-jev-live""]",unverified_outgoing_link_candidate
0no-co/gql.tada,https://github.com/0no-co/gql.tada,1,"[""jellydn/awesome-typesafe""]",unverified_outgoing_link_candidate
0x1f/pi-jev-multi-provider,https://github.com/0x1f/pi-jev-multi-provider,2,"[""daftAI2026/awesome-jev"", ""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
0x7067/claude-jev,https://github.com/0x7067/claude-jev,7,"[""Omrigotlieb/awesome-jev"", ""daftAI2026/awesome-jev"", ""hellogumbo/awesome-jev"", ""kydlikebtc/awesome-jev"", ""logicrw/awesome-jev-projects"", ""stainlu/awesome-jev"", ""wh000wh000/awesome-jev-live""]",unverified_outgoing_link_candidate
0x7067/jev-browse,https://github.com/0x7067/jev-browse,6,"[""Omrigotlieb/awesome-jev"", ""RadRebelSam/awesome-jev"", ""daftAI2026/awesome-jev"", ""hellogumbo/awesome-jev"", ""mabodx/awesome-jev"", ""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
0x963d/last-exit,https://github.com/0x963d/last-exit,6,"[""Omrigotlieb/awesome-jev"", ""daftAI2026/awesome-jev"", ""hellogumbo/awesome-jev"", ""heyjunpenn/awesome-jev"", ""mabodx/awesome-jev"", ""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
0xagentlabs/jev-five,https://github.com/0xagentlabs/jev-five,1,"[""daftAI2026/awesome-jev""]",unverified_outgoing_link_candidate
0xagentlabs/jev-xiangqi,https://github.com/0xagentlabs/jev-xiangqi,2,"[""daftAI2026/awesome-jev"", ""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
0xarx/jevegis,https://github.com/0xarx/jevegis,7,"[""Omrigotlieb/awesome-jev"", ""daftAI2026/awesome-jev"", ""hellogumbo/awesome-jev"", ""heyjunpenn/awesome-jev"", ""mabodx/awesome-jev"", ""stainlu/awesome-jev"", ""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
0xbakeer/arbiter,https://github.com/0xbakeer/arbiter,1,"[""KennethAshley/awesome-jev""]",unverified_outgoing_link_candidate
0xdesign/design-gate,https://github.com/0xdesign/design-gate,1,"[""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
0xjba/bennyfit,https://github.com/0xjba/bennyfit,1,"[""daftAI2026/awesome-jev""]",unverified_outgoing_link_candidate
0xm0w/ship-checklist,https://github.com/0xm0w/ship-checklist,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
0xnairb/jevpot,https://github.com/0xnairb/jevpot,2,"[""jtnkminimal/awesome-jev"", ""mabodx/awesome-jev""]",unverified_outgoing_link_candidate
0xnairb/research_desk,https://github.com/0xnairb/research_desk,9,"[""JohnDotOwl/awesome-jev"", ""Omrigotlieb/awesome-jev"", ""RadRebelSam/awesome-jev"", ""SeeAPI/awesome-jev-use-cases"", ""hellogumbo/awesome-jev"", ""jtnkminimal/awesome-jev"", ""mabodx/awesome-jev"", ""robokrunch/awesome-jev"", ""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
